amount,hour,velocity_1h,new_device,merchant_risk,is_fraud
3866.16,10,1,0,0.284,0
11684.64,20,2,0,0.135,0
9371.89,16,1,1,0.383,0
44242.77,7,5,0,0.622,1
52094.84,18,5,1,0.814,1
22275.14,18,1,0,0.557,0
12612.27,10,3,0,0.196,0
49575.14,1,5,1,0.373,1
7659.76,15,2,1,0.407,0
13340.34,17,5,1,0.53,1
5768.97,7,2,1,0.069,0
16554.44,22,2,0,0.213,0
19300.99,1,5,0,0.592,1
4434.07,4,1,0,0.203,0
53055.36,22,3,0,0.174,0
2784.55,0,1,1,0.341,0
10882.14,2,0,1,0.405,0
3233.07,10,3,1,0.373,0
9372.12,4,1,0,0.281,0
4659.93,17,2,1,0.39,0
99811.83,19,1,0,0.417,0
68659.41,23,0,0,0.43,0
34942.51,1,1,1,0.584,1
11535.16,2,2,0,0.489,0
14202.28,21,1,0,0.046,0
11527.22,2,1,0,0.645,0
7540.81,10,1,0,0.402,0
19587.66,11,1,0,0.432,0
29424.53,0,2,0,0.306,0
6514.07,4,4,0,0.217,0
14829.4,17,4,1,0.394,0
13806.27,18,2,0,0.171,0
5199.99,22,2,0,0.337,0
207695.62,14,0,1,0.71,1
14418.6,22,0,0,0.233,0
12559.61,14,1,0,0.178,0
44099.87,0,4,0,0.429,1
165748.57,12,4,0,0.742,1
1753.02,2,1,0,0.101,0
160909.2,3,6,1,0.793,1
10658.76,23,1,0,0.129,0
15486.26,9,3,0,0.424,0
11986.31,3,3,0,0.328,0
113776.63,16,0,0,0.283,1
6351.87,22,3,0,0.226,0
26382.73,20,6,1,0.422,1
17194.31,15,1,0,0.047,0
8489.81,5,1,0,0.332,0
10025.69,10,3,0,0.123,0
22911.92,21,0,0,0.532,0
13224.72,17,4,0,0.171,0
13841.8,23,4,0,0.076,0
1853.88,5,1,0,0.13,0
19324.38,14,5,1,0.765,1
30330.01,22,5,0,0.62,1
2454.29,9,3,1,0.517,0
69412.69,8,1,0,0.295,0
10747.59,3,1,0,0.048,0
14362.41,0,1,1,0.558,0
38243.35,7,4,0,0.539,0
6460.1,1,1,1,0.339,1
31231.22,21,1,0,0.294,1
3242.53,16,1,0,0.081,0
47154.22,17,1,0,0.28,0
98714.85,0,3,0,0.228,1
4477.72,7,2,0,0.638,0
38164.66,12,1,1,0.068,0
42583.43,9,2,1,0.114,1
247163.43,11,5,1,0.386,0
31546.68,20,1,0,0.211,0
7949.73,20,1,0,0.37,0
14374.4,8,1,0,0.597,0
9724.36,23,4,0,0.179,0
272271.28,4,6,0,0.443,1
66364.98,14,3,0,0.513,1
10440.13,3,3,1,0.271,0
3600.74,1,1,1,0.781,0
7270.73,1,0,0,0.14,0
9438.55,6,2,0,0.156,0
5871.31,21,3,0,0.07,0
71838.43,17,2,1,0.179,0
3460.39,3,0,1,0.252,0
15303.57,6,4,0,0.064,0
16449.27,19,3,0,0.163,0
13672.23,5,3,0,0.069,0
15904.96,14,4,0,0.24,0
23548.63,0,3,0,0.203,0
23300.92,7,1,0,0.101,0
85624.93,14,6,0,0.71,1
10922.8,0,4,0,0.461,0
4206.45,22,4,0,0.275,0
32505.87,20,1,1,0.692,1
2224.32,23,1,0,0.497,0
7271.13,10,1,0,0.133,0
10228.38,2,0,0,0.302,0
3650.66,7,3,0,0.243,0
35413.79,9,1,1,0.558,1
39359.53,20,4,0,0.65,1
1478.01,18,1,1,0.246,0
14366.37,23,2,0,0.031,0
4084.04,15,3,1,0.116,0
5105.25,3,1,0,0.329,0
15762.1,9,1,0,0.34,0
21292.71,2,2,1,0.725,1
14728.08,22,3,1,0.09,0
16497.8,14,1,0,0.318,0
3347.17,12,2,0,0.217,0
58899.4,11,2,0,0.11,0
14793.91,8,1,0,0.414,0
10409.16,13,3,0,0.538,0
28573.23,14,1,0,0.199,1
10686.82,23,1,1,0.187,0
3437.62,8,3,0,0.721,0
7727.0,3,3,0,0.399,0
10697.36,2,1,0,0.32,0
107892.35,4,6,1,0.824,1
27335.19,12,0,0,0.072,0
6587.27,21,2,1,0.067,0
150402.67,15,10,1,0.867,1
66354.1,6,3,1,0.817,1
7911.05,8,0,0,0.305,0
101694.84,3,3,0,0.412,0
173003.59,13,4,0,0.8,1
569.28,2,2,0,0.447,0
6043.75,11,0,0,0.151,0
65206.76,10,3,0,0.428,0
134933.79,12,5,1,0.663,1
108039.56,7,2,1,0.606,1
22291.86,15,2,0,0.268,0
12485.79,8,1,0,0.084,0
3077.85,3,5,1,0.025,0
81532.37,17,5,0,0.269,0
16244.49,5,1,0,0.265,0
9453.97,22,0,0,0.145,0
2237.02,21,2,0,0.079,0
143008.57,8,4,1,0.749,1
15962.08,3,2,0,0.167,0
18180.03,9,3,0,0.325,0
15123.61,6,0,0,0.359,0
15915.71,0,2,0,0.181,0
8921.49,23,3,0,0.184,0
39061.12,17,3,0,0.052,0
66057.95,1,0,0,0.335,0
17154.58,23,2,0,0.297,0
5770.4,10,1,0,0.602,0
3136.74,8,2,0,0.346,0
73343.38,2,1,0,0.142,0
6101.68,10,1,0,0.503,0
21026.16,10,8,1,0.584,1
21401.75,15,0,0,0.258,0
32833.07,20,3,1,0.141,0
3239.85,23,2,0,0.325,0
2844.66,5,3,0,0.266,0
11020.34,0,3,0,0.682,1
7261.57,6,2,0,0.041,0
27795.76,18,4,0,0.102,0
23092.71,23,2,0,0.185,0
108126.66,20,4,1,0.594,1
9240.47,6,1,0,0.24,0
40614.12,22,3,0,0.807,1
2151.49,17,2,0,0.285,0
24224.94,11,1,1,0.476,1
84342.68,0,2,0,0.701,1
35965.15,1,2,1,0.052,0
3319.62,22,2,0,0.129,0
3422.29,23,1,0,0.568,0
4406.77,7,2,0,0.256,0
6087.23,1,2,1,0.146,0
8640.07,6,0,0,0.22,0
12972.99,6,2,0,0.292,0
18869.9,7,2,0,0.121,0
14070.76,0,2,0,0.605,0
56577.58,8,5,1,0.348,1
40467.18,5,1,0,0.282,0
21163.59,4,2,0,0.353,0
34854.92,22,1,0,0.241,0
14369.49,5,2,0,0.276,0
8420.61,19,1,0,0.37,0
56534.32,23,9,0,0.686,1
38112.24,18,3,1,0.655,1
12179.8,0,2,0,0.152,0
16685.39,11,4,1,0.272,0
163404.68,19,2,0,0.392,0
18619.88,22,4,1,0.602,1
10526.98,23,4,0,0.556,1
13827.73,10,3,0,0.477,0
13003.93,2,1,0,0.281,0
32236.55,7,2,0,0.265,0
49520.89,8,7,0,0.653,1
53254.07,12,1,0,0.278,0
28073.84,14,0,0,0.103,0
1011.04,7,1,0,0.252,0
9000.36,18,1,0,0.269,0
3047.0,8,1,0,0.338,0
21971.21,19,1,1,0.487,0
5166.75,8,0,1,0.558,0
75764.2,0,1,0,0.3,0
16399.11,12,2,0,0.754,0
12958.07,10,2,1,0.076,0
185630.97,17,1,0,0.618,1
